No.,Time,Source,Source port,Destination,Protocol,Destination port,Length,Info,Date time
1,68.55954,192.168.0.106,13769,10.0.0.15,TCP,10990,1200,Info_923,2025-05-06 17:56:18
2,279.91684,192.168.0.15,9744,10.0.0.5,UDP,3661,1028,Info_564,2025-05-06 17:56:19
3,17.382595,192.168.0.213,5961,10.0.0.60,TCP,1181,3039,Info_285,2025-05-06 17:56:20
4,48.669453,192.168.0.97,11355,10.0.0.94,UDP,2342,1410,Info_338,2025-05-06 17:56:21
5,99.7465,192.168.0.88,6340,10.0.0.54,UDP,7581,1695,Info_823,2025-05-06 17:56:22
6,37.563057,192.168.0.88,6115,10.0.0.104,TCP,2342,1649,Info_272,2025-05-06 17:56:23
7,82.714615,192.168.0.52,3292,10.0.0.46,UDP,2659,1802,Info_585,2025-05-06 17:56:24
8,103.6356,192.168.0.29,6662,10.0.0.9,UDP,102,2870,Info_453,2025-05-06 17:56:25
9,97.15873,192.168.0.32,2109,10.0.0.68,TCP,9728,114,Info_95,2025-05-06 17:56:26
10,15.983246,192.168.0.88,5167,10.0.0.8,TCP,6563,1204,Info_393,2025-05-06 17:56:27
11,28.36428,192.168.0.47,5065,10.0.0.106,ICMP,1252,281,Info_311,2025-05-06 17:56:28
12,57.108654,192.168.0.87,4660,10.0.0.78,UDP,7077,2527,Info_116,2025-05-06 17:56:29
13,73.066696,192.168.0.64,4721,10.0.0.223,TCP,1043,130,Info_679,2025-05-06 17:56:30
14,183.71687,192.168.0.77,197,10.0.0.84,TCP,6296,529,Info_415,2025-05-06 17:56:31
15,44.302486,192.168.0.12,4008,10.0.0.118,UDP,1455,169,Info_607,2025-05-06 17:56:32
16,88.62848,192.168.0.65,20695,10.0.0.136,TCP,7481,1080,Info_128,2025-05-06 17:56:33
17,90.56648,192.168.0.30,8845,10.0.0.70,TCP,5944,1532,Info_482,2025-05-06 17:56:34
18,26.058964,192.168.0.76,10335,10.0.0.137,ICMP,10946,1243,Info_601,2025-05-06 17:56:35
19,19.281965,192.168.0.6,810,10.0.0.58,UDP,3795,1092,Info_333,2025-05-06 17:56:36
20,7.875017,192.168.0.7,1019,10.0.0.31,TCP,10585,1023,Info_499,2025-05-06 17:56:37
21,6.092505,192.168.0.20,6831,10.0.0.234,UDP,285,597,Info_338,2025-05-06 17:56:38
22,11.278786,192.168.0.83,203,10.0.0.204,TCP,466,16,Info_876,2025-05-06 17:56:39
23,8.700357,192.168.0.183,1626,10.0.0.73,TCP,2043,233,Info_58,2025-05-06 17:56:40
24,14.859824,192.168.0.133,243,10.0.0.192,TCP,1914,235,Info_864,2025-05-06 17:56:41
25,53.0013,192.168.0.140,1768,10.0.0.193,TCP,2381,679,Info_152,2025-05-06 17:56:42
26,62.395317,192.168.0.46,2995,10.0.0.29,TCP,2253,773,Info_703,2025-05-06 17:56:43
27,57.80961,192.168.0.36,1685,10.0.0.173,TCP,2094,640,Info_82,2025-05-06 17:56:44
28,60.242683,192.168.0.33,2431,10.0.0.224,TCP,1947,734,Info_170,2025-05-06 17:56:45
29,52.917797,192.168.0.15,1327,10.0.0.167,ICMP,2447,584,Info_892,2025-05-06 17:56:46
30,60.523598,192.168.0.202,1815,10.0.0.231,TCP,2516,658,Info_210,2025-05-06 17:56:47
31,59.206383,192.168.0.82,1301,10.0.0.123,TCP,2986,582,Info_430,2025-05-06 17:56:48
32,63.058167,192.168.0.130,970,10.0.0.165,TCP,2930,600,Info_586,2025-05-06 17:56:49
33,65.77696,192.168.0.180,846,10.0.0.209,ICMP,3036,603,Info_301,2025-05-06 17:56:50
34,66.366066,192.168.0.65,171,10.0.0.75,ICMP,3416,548,Info_286,2025-05-06 17:56:51
35,67.121864,192.168.0.216,808,10.0.0.224,TCP,3638,456,Info_548,2025-05-06 17:56:52
36,63.38677,192.168.0.128,1953,10.0.0.95,TCP,3830,341,Info_596,2025-05-06 17:56:53
37,58.61674,192.168.0.254,3301,10.0.0.186,UDP,4126,261,Info_592,2025-05-06 17:56:54
38,61.531048,192.168.0.155,3442,10.0.0.158,TCP,4809,308,Info_976,2025-05-06 17:56:55
39,58.9438,192.168.0.159,3875,10.0.0.200,TCP,5282,362,Info_42,2025-05-06 17:56:56
40,57.748222,192.168.0.153,4108,10.0.0.226,TCP,5834,431,Info_16,2025-05-06 17:56:57
41,54.5147,192.168.0.199,4418,10.0.0.28,TCP,6231,489,Info_448,2025-05-06 17:56:58
42,51.148647,192.168.0.214,4663,10.0.0.34,ICMP,6387,531,Info_594,2025-05-06 17:56:59
43,48.730732,192.168.0.205,4730,10.0.0.49,UDP,6345,520,Info_364,2025-05-06 17:57:00
44,46.657146,192.168.0.187,4754,10.0.0.53,UDP,6368,519,Info_552,2025-05-06 17:57:01
45,43.57344,192.168.0.190,4833,10.0.0.59,UDP,6335,515,Info_52,2025-05-06 17:57:02
46,40.957294,192.168.0.164,4762,10.0.0.49,UDP,6350,527,Info_586,2025-05-06 17:57:03
47,38.070614,192.168.0.171,4777,10.0.0.53,UDP,6192,512,Info_624,2025-05-06 17:57:04
48,36.60397,192.168.0.130,4488,10.0.0.40,UDP,6173,514,Info_24,2025-05-06 17:57:05
49,33.529472,192.168.0.181,4625,10.0.0.66,TCP,5897,460,Info_676,2025-05-06 17:57:06
50,35.338573,192.168.0.42,3984,10.0.0.242,UDP,6113,503,Info_754,2025-05-06 17:57:07
51,26.783657,192.168.0.14,4738,10.0.0.98,TCP,5367,373,Info_242,2025-05-06 17:57:08
52,39.190666,192.168.0.103,3001,10.0.0.107,ICMP,6162,548,Info_306,2025-05-06 17:57:09
53,13.67213,192.168.0.115,5840,10.0.0.207,TCP,4290,190,Info_262,2025-05-06 17:57:10
54,44.735832,192.168.0.211,2111,10.0.0.237,TCP,6230,551,Info_346,2025-05-06 17:57:11
55,1.9649312,192.168.0.24,5975,10.0.0.56,UDP,3857,162,Info_28,2025-05-06 17:57:12
56,43.622368,192.168.0.188,2303,10.0.0.216,TCP,6196,517,Info_536,2025-05-06 17:57:13
57,3.4467533,192.168.0.58,6260,10.0.0.35,TCP,3490,129,Info_594,2025-05-06 17:57:14
58,45.6252,192.168.0.174,2180,10.0.0.187,TCP,6106,514,Info_606,2025-05-06 17:57:15
59,7.782133,192.168.0.200,6693,10.0.0.96,TCP,3346,80,Info_692,2025-05-06 17:57:16
