No.,Time,Source,Source port,Destination,Protocol,Destination port,Length,Info,Date time
1,157.7042,192.168.0.50,8835,10.0.0.42,UDP,8326,1219,Info_123,2025-05-06 18:10:51
2,94.10057,192.168.0.51,7375,10.0.0.63,TCP,2773,1684,Info_430,2025-05-06 18:10:52
3,42.35669,192.168.0.4,2763,10.0.0.243,UDP,4214,1035,Info_268,2025-05-06 18:10:53
4,61.209656,192.168.0.69,775,10.0.0.24,TCP,7033,1274,Info_556,2025-05-06 18:10:54
5,183.70375,192.168.0.32,5283,10.0.0.59,TCP,8899,1703,Info_20,2025-05-06 18:10:55
6,2.7324924,192.168.0.6,6395,10.0.0.93,UDP,1260,492,Info_27,2025-05-06 18:10:56
7,20.178913,192.168.0.104,19417,10.0.0.16,ICMP,4340,212,Info_58,2025-05-06 18:10:57
8,33.603363,192.168.0.38,25056,10.0.0.4,TCP,3503,735,Info_68,2025-05-06 18:10:58
9,16.788378,192.168.0.167,7140,10.0.0.76,TCP,7089,2035,Info_731,2025-05-06 18:10:59
10,34.06773,192.168.0.15,11876,10.0.0.102,UDP,4330,1381,Info_798,2025-05-06 18:11:00
11,0.45628405,192.168.0.178,12662,10.0.0.64,ICMP,3034,389,Info_200,2025-05-06 18:11:01
12,50.225716,192.168.0.17,7322,10.0.0.63,ICMP,5749,1275,Info_486,2025-05-06 18:11:02
13,289.03955,192.168.0.143,7630,10.0.0.67,TCP,22309,386,Info_366,2025-05-06 18:11:03
14,34.795483,192.168.0.133,10501,10.0.0.61,TCP,5583,1276,Info_61,2025-05-06 18:11:04
15,122.06355,192.168.0.93,3062,10.0.0.68,TCP,1740,2716,Info_573,2025-05-06 18:11:05
16,137.23007,192.168.0.92,13028,10.0.0.178,TCP,18457,2546,Info_53,2025-05-06 18:11:06
17,133.44353,192.168.0.232,4326,10.0.0.55,UDP,7702,1045,Info_917,2025-05-06 18:11:07
18,14.084442,192.168.0.66,1325,10.0.0.75,UDP,11409,332,Info_42,2025-05-06 18:11:08
19,47.958336,192.168.0.37,6821,10.0.0.117,ICMP,4006,239,Info_67,2025-05-06 18:11:09
20,27.20283,192.168.0.18,1717,10.0.0.53,UDP,2,2200,Info_194,2025-05-06 18:11:10
21,4.462527,192.168.0.199,6993,10.0.0.94,ICMP,590,584,Info_344,2025-05-06 18:11:11
22,25.05241,192.168.0.229,815,10.0.0.203,TCP,1190,62,Info_226,2025-05-06 18:11:12
23,8.538313,192.168.0.3,994,10.0.0.155,UDP,1573,108,Info_258,2025-05-06 18:11:13
24,14.417447,192.168.0.181,772,10.0.0.158,TCP,1199,31,Info_426,2025-05-06 18:11:14
25,13.6745615,192.168.0.62,1177,10.0.0.246,ICMP,1813,303,Info_352,2025-05-06 18:11:15
26,49.040073,192.168.0.49,792,10.0.0.64,TCP,2743,663,Info_818,2025-05-06 18:11:16
27,58.32463,192.168.0.18,1649,10.0.0.93,UDP,2536,727,Info_824,2025-05-06 18:11:17
28,52.81565,192.168.0.247,1565,10.0.0.218,UDP,2247,727,Info_227,2025-05-06 18:11:18
29,46.300125,192.168.0.251,669,10.0.0.189,UDP,2537,623,Info_996,2025-05-06 18:11:19
30,52.91479,192.168.0.28,586,10.0.0.220,TCP,2611,642,Info_891,2025-05-06 18:11:20
31,48.112476,192.168.0.210,151,10.0.0.174,ICMP,3010,573,Info_766,2025-05-06 18:11:21
32,57.64233,192.168.0.151,94,10.0.0.154,UDP,3158,662,Info_747,2025-05-06 18:11:22
33,50.36566,192.168.0.224,1496,10.0.0.160,TCP,3539,525,Info_812,2025-05-06 18:11:23
34,63.373966,192.168.0.230,1821,10.0.0.159,TCP,3475,607,Info_516,2025-05-06 18:11:24
35,62.0869,192.168.0.142,2700,10.0.0.35,TCP,3289,534,Info_512,2025-05-06 18:11:25
36,60.859535,192.168.0.37,4006,10.0.0.178,UDP,3311,498,Info_474,2025-05-06 18:11:26
37,56.584885,192.168.0.113,5090,10.0.0.211,TCP,3483,520,Info_878,2025-05-06 18:11:27
38,55.565636,192.168.0.71,5466,10.0.0.216,ICMP,3762,570,Info_718,2025-05-06 18:11:28
39,50.29086,192.168.0.115,6298,10.0.0.228,UDP,3709,563,Info_722,2025-05-06 18:11:29
40,48.44992,192.168.0.76,6659,10.0.0.223,ICMP,4028,616,Info_160,2025-05-06 18:11:30
41,47.724564,192.168.0.60,6972,10.0.0.191,UDP,4029,636,Info_286,2025-05-06 18:11:31
42,47.15092,192.168.0.28,6936,10.0.0.208,TCP,4185,617,Info_672,2025-05-06 18:11:32
43,47.4271,192.168.0.25,6958,10.0.0.232,TCP,4352,603,Info_478,2025-05-06 18:11:33
44,47.361397,192.168.0.5,6882,10.0.0.7,ICMP,4639,597,Info_714,2025-05-06 18:11:34
45,48.53362,192.168.0.17,6927,10.0.0.21,ICMP,4862,594,Info_714,2025-05-06 18:11:35
46,47.637306,192.168.0.103,7152,10.0.0.66,ICMP,5080,573,Info_528,2025-05-06 18:11:36
47,42.93049,192.168.0.248,7522,10.0.0.129,ICMP,5112,513,Info_480,2025-05-06 18:11:37
48,43.540184,192.168.0.124,7036,10.0.0.29,ICMP,5103,478,Info_782,2025-05-06 18:11:38
49,39.181812,192.168.0.128,6831,10.0.0.68,ICMP,5080,439,Info_314,2025-05-06 18:11:39
50,36.808483,192.168.0.138,6648,10.0.0.63,ICMP,4928,399,Info_106,2025-05-06 18:11:40
51,35.864574,192.168.0.93,6363,10.0.0.33,ICMP,4851,382,Info_344,2025-05-06 18:11:41
52,31.201797,192.168.0.146,6366,10.0.0.62,ICMP,4700,331,Info_704,2025-05-06 18:11:42
53,32.440125,192.168.0.73,6013,10.0.0.4,ICMP,4622,318,Info_408,2025-05-06 18:11:43
54,26.228815,192.168.0.148,6121,10.0.0.73,UDP,4485,283,Info_246,2025-05-06 18:11:44
55,27.926731,192.168.0.76,5833,10.0.0.21,UDP,4414,266,Info_954,2025-05-06 18:11:45
56,22.912567,192.168.0.138,5892,10.0.0.85,UDP,4334,243,Info_344,2025-05-06 18:11:46
57,23.737202,192.168.0.137,5803,10.0.0.59,UDP,4206,207,Info_58,2025-05-06 18:11:47
58,24.704193,192.168.0.111,5683,10.0.0.44,UDP,4148,191,Info_308,2025-05-06 18:11:48
59,25.065845,192.168.0.127,5662,10.0.0.52,UDP,4061,161,Info_820,2025-05-06 18:11:49
60,27.771442,192.168.0.76,5457,10.0.0.27,UDP,4034,144,Info_266,2025-05-06 18:11:50
61,25.784714,192.168.0.93,5501,10.0.0.54,UDP,3967,141,Info_134,2025-05-06 18:11:51
62,27.491516,192.168.0.24,5302,10.0.0.30,TCP,3964,145,Info_946,2025-05-06 18:11:52
63,25.47788,192.168.0.18,5285,10.0.0.47,TCP,3915,155,Info_842,2025-05-06 18:11:53
64,26.19924,192.168.0.242,5179,10.0.0.36,TCP,3872,150,Info_754,2025-05-06 18:11:54
65,25.39931,192.168.0.251,5175,10.0.0.49,TCP,3802,144,Info_810,2025-05-06 18:11:55
66,24.746399,192.168.0.14,5182,10.0.0.62,TCP,3726,126,Info_80,2025-05-06 18:11:56
67,23.676722,192.168.0.22,5173,10.0.0.69,TCP,3655,113,Info_98,2025-05-06 18:11:57
68,22.538273,192.168.0.24,5168,10.0.0.70,TCP,3581,102,Info_46,2025-05-06 18:11:58
69,22.344893,192.168.0.254,5092,10.0.0.58,ICMP,3533,96,Info_524,2025-05-06 18:11:59
70,21.991304,192.168.0.242,5034,10.0.0.54,ICMP,3479,86,Info_816,2025-05-06 18:12:00
71,22.352009,192.168.0.216,4905,10.0.0.54,ICMP,3446,73,Info_592,2025-05-06 18:12:01
72,20.653442,192.168.0.242,4916,10.0.0.75,TCP,3375,55,Info_680,2025-05-06 18:12:02
73,20.582727,192.168.0.200,4779,10.0.0.66,ICMP,3347,54,Info_770,2025-05-06 18:12:03
74,16.717962,192.168.0.223,4875,10.0.0.83,ICMP,3274,60,Info_546,2025-05-06 18:12:04
75,16.677765,192.168.0.158,4715,10.0.0.59,ICMP,3249,71,Info_24,2025-05-06 18:12:05
76,12.749688,192.168.0.195,4824,10.0.0.81,ICMP,3152,68,Info_42,2025-05-06 18:12:06
77,13.576238,192.168.0.153,4655,10.0.0.72,ICMP,3107,53,Info_622,2025-05-06 18:12:07
78,10.176889,192.168.0.228,4790,10.0.0.114,ICMP,2987,25,Info_186,2025-05-06 18:12:08
79,11.310058,192.168.0.172,4558,10.0.0.104,ICMP,2934,7,Info_156,2025-05-06 18:12:09
80,6.7468686,192.168.0.2,4724,10.0.0.145,ICMP,2780,17,Info_726,2025-05-06 18:12:10
81,9.856836,192.168.0.107,4249,10.0.0.98,ICMP,2811,19,Info_132,2025-05-06 18:12:11
82,4.450826,192.168.0.207,4489,10.0.0.138,ICMP,2632,36,Info_120,2025-05-06 18:12:12
83,10.416405,192.168.0.214,3764,10.0.0.63,ICMP,2758,36,Info_418,2025-05-06 18:12:13
84,2.1232173,192.168.0.176,4290,10.0.0.139,ICMP,2513,56,Info_442,2025-05-06 18:12:14
85,8.685236,192.168.0.131,3398,10.0.0.50,ICMP,2668,56,Info_572,2025-05-06 18:12:15
86,2.4557426,192.168.0.188,4284,10.0.0.143,ICMP,2337,66,Info_90,2025-05-06 18:12:16
87,6.0232863,192.168.0.33,3127,10.0.0.11,UDP,2543,49,Info_620,2025-05-06 18:12:17
88,7.5181084,192.168.0.148,4214,10.0.0.113,ICMP,2153,56,Info_372,2025-05-06 18:12:18
89,4.4061527,192.168.0.180,2792,10.0.0.224,UDP,2444,47,Info_496,2025-05-06 18:12:19
90,10.926528,192.168.0.178,4221,10.0.0.126,ICMP,2008,78,Info_992,2025-05-06 18:12:20
91,5.4335995,192.168.0.119,2419,10.0.0.204,UDP,2316,81,Info_990,2025-05-06 18:12:21
92,14.101751,192.168.0.233,4263,10.0.0.154,ICMP,1887,106,Info_484,2025-05-06 18:12:22
93,6.3128037,192.168.0.28,2019,10.0.0.163,UDP,2160,104,Info_436,2025-05-06 18:12:23
94,17.56546,192.168.0.216,4192,10.0.0.143,ICMP,1756,112,Info_954,2025-05-06 18:12:24
95,7.2899566,192.168.0.146,1565,10.0.0.102,UDP,2045,105,Info_208,2025-05-06 18:12:25
96,20.822222,192.168.0.205,4140,10.0.0.135,ICMP,1629,118,Info_882,2025-05-06 18:12:26
97,7.672535,192.168.0.49,1234,10.0.0.55,UDP,1915,106,Info_816,2025-05-06 18:12:27
98,25.22095,192.168.0.207,4131,10.0.0.127,ICMP,1476,120,Info_684,2025-05-06 18:12:28
99,5.9489117,192.168.0.215,1012,10.0.0.11,UDP,1827,91,Info_808,2025-05-06 18:12:29
100,29.866726,192.168.0.88,3876,10.0.0.55,UDP,1260,93,Info_562,2025-05-06 18:12:30
101,3.0888722,192.168.0.141,884,10.0.0.223,UDP,1751,64,Info_812,2025-05-06 18:12:31
102,30.695635,192.168.0.64,3827,10.0.0.38,UDP,1185,100,Info_90,2025-05-06 18:12:32
103,5.1946325,192.168.0.135,744,10.0.0.209,UDP,1616,103,Info_202,2025-05-06 18:12:33
104,29.671389,192.168.0.112,3909,10.0.0.64,ICMP,1202,133,Info_202,2025-05-06 18:12:34
105,6.456451,192.168.0.98,552,10.0.0.187,UDP,1519,116,Info_242,2025-05-06 18:12:35
106,32.344322,192.168.0.233,3663,10.0.0.0,UDP,1058,110,Info_442,2025-05-06 18:12:36
107,3.2426045,192.168.0.2,389,10.0.0.142,UDP,1487,84,Info_474,2025-05-06 18:12:37
108,35.818207,192.168.0.71,3281,10.0.0.156,UDP,841,78,Info_536,2025-05-06 18:12:38
109,1.7788186,192.168.0.18,608,10.0.0.142,UDP,1489,65,Info_472,2025-05-06 18:12:39
110,37.126495,192.168.0.28,3213,10.0.0.120,TCP,743,80,Info_880,2025-05-06 18:12:40
111,6.914748,192.168.0.62,920,10.0.0.138,TCP,1414,59,Info_82,2025-05-06 18:12:41
112,40.10725,192.168.0.185,3003,10.0.0.50,TCP,557,64,Info_922,2025-05-06 18:12:42
113,15.210213,192.168.0.144,1379,10.0.0.152,TCP,1329,57,Info_440,2025-05-06 18:12:43
