Source,Source port,Destination,Destination port,Protocol,Length,Info
10.42.0.49,52432.0,10.42.0.13,59898.0,TCP,54,"52432 > 59898 [ACK] Seq=1781 Ack=497 Win=5344 Len=0165=1346 Win=65535 Len=0, flush 10.42.0.49 Destination Port: 52432.0 Protocol: TCP Length: 54 Info: 59898 > 52432 [ACK] Seq=497 Ack"
10.42.0.13,50519.0,10.42.0.49,52432.0,TCP,54,"50519 > 52432 [ACK] Seq=496 Ack=1781 Win=65535 Len=0 -163 221.139.200.41123.107.105.38 Destination Port: 123.0 Protocol: NTP Length: 90 Info: NTP Version 4, client] 107.172.16.197"
10.42.0.49,52432.0,10.42.0.13,50524.0,HTTP,1096,"Continuationb353.0 Protocol: TCP Length: 54 Info: 52432 > 50524 [ACK] Seq=1781 Ack=497 Win=5344 Len=01147=1346=491 Info: Continuation (TCP Retransmission]], ovr) is at 491 Info: Continuation,74"
10.42.0.13,5353.0,10.42.0.49,5353.0,MDNS,87,"Standard query 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question, cache flush 0.north-america.pool.ntp.org, cache flush 10."
10.42.0.49,52432.0,10.42.0.13,62763.0,TCP,54,"52432 > 62763 [FIN, ACK] Seq=1781 Ack=497 Win=5344 Len=0162732406 TSecr=0 SACK_PERM1931091916 TSecr=0 SACK_PERM996194812 TSecr=0 SACK_PERM, ACK], Ack=49"
10.42.0.49,52432.0,10.42.0.13,59768.0,HTTP,1096,"Continuation (sol, ovr) is at 10.42.0.1 Destination Port: 53.0 Protocol: DNS Length: 88 Info: Standard query 0x1f8d A 0.north-america.pool.ntp.org108146 A 192.109.200.187 A 208.67.72.50 A 172.108.0.132"
10.42.0.13,50322.0,10.42.0.49,52432.0,TCP,54,"50322 > 52432 [ACK] Seq=163 Ack=221 Win=65535 Len=0 [TCP Keep-Alive],62765 > 52432 [ACK] Seq=495 Ack=1781 Win=65535 Len=06262765 Len=0,r), cache flush 10.42.0.49 Destination"
10.42.0.49,5353.0,224.0.0.251,5353.0,MDNS,305,"Standard query response 0x0000 PTR MSS210-9f39._hap._tcp.local SRV, cache flush 0 0 52432 Meross_Smart_Plug.local TXT, cache flush A, cache flush 10.42.0.49 AAAA, cache flush fe80::4ae1:e9ff:fe6e:9f39 NSEC, cache flush MSS210-9f39._hap._tcp.local NS"
10.42.0.49,52432.0,10.42.0.13,62724.0,TCP,54,"52432 > 62724 [ACK] Seq=1 Ack=163 Win=5678 Len=0221TCP Keep-Alive ACK]125426 Len=0110802 [ACK]172760 Ack=105380 Win=4589 Len=0221TCP Retransmission]119480 > 62724 [FIN,"
10.42.0.13,62473.0,10.42.0.49,52432.0,TCP,54,"62473 > 52432 [ACK] Seq=497 Ack=1782 Win=65535 Len=0 1346=497 Ack=1782 Win=65535 Len=0 1346=1532=2920 Len=06TCP Retransmission], cache flush 1726112996 TSecr="
10.42.0.49,52432.0,10.42.0.13,50498.0,TCP,54,"52432 > 50498 [ACK] Seq=1 Ack=163 Win=5678 Len=0221TCP Keep-Alive ACK],ACK]1 Ack=163 Win=5678 Len=0119, (TCP PDU reassembled in 60857],57542291938938b.elb.eu-west=58"
10.42.0.49,5353.0,10.42.0.13,5353.0,MDNS,174,"Standard query response 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT A 10.42.0.49 AAAA fe80::4ae1:e9ff:fe6e:9f39640, cache flush Meross_Smart_Plug.local, ""QU"" question TX"
10.42.0.28,55990.0,52.212.130.239,443.0,TLSv1.2,123,Application Data
10.42.0.49,52432.0,10.42.0.13,50759.0,TCP,54,52432 > 50759 [ACK] Seq=1 Ack=163 Win=5678 Len=062163 Ack=221 Win=5633 Len=0 fe80::804:26cb:5baf:fb18 Source Port: 5353.0 Destination: fe80::4ae1:e9ff:fe6e:9f39 Destination Port: 5353
