Source,Source port,Destination,Destination port,Protocol,Length,Info
10.42.0.28,80.0,10.42.0.13,51509.0,TCP,54,"80 > 51509 [RST, ACK] Seq=1 Ack=355 Win=2920 Len=010 [TCP PDU reassembled in 37090], ACK],TCP PDU reassembled in 37082]0], ACK], Ack=484 Ack=1784 Win=2920 Len=01,TCP PDU reassembled in 4"
10.42.0.49,5353.0,224.0.0.251,5353.0,MDNS,305,"Standard query response 0x0000 PTR MSS210-9f39._hap._tcp.local SRV, cache flush 0 0 52432 Meross_Smart_Plug.local TXT, cache flush A, cache flush 10.42.0.49 AAAA, cache flush fe80::4ae1:e9ff:fe6e:9f39 NSEC, cache flush MSS210-9f39._hap._tcp.local NS"
10.42.0.49,52432.0,10.42.0.13,50528.0,TCP,54,"52432 > 50528 [FIN, ACK] Seq=1781 Ack=497 Win=5344 Len=0163TCP-TCP Retransmission],61111.0 Protocol: TCP Length: 54 Info: 52432 > 50528 [FIN, ACK] Seq=1781 Ack=497 Win=5344 Len=0"
10.42.0.13,50960.0,10.42.0.49,80.0,TCP,54,50960 > 80 [ACK] Seq=1 Ack=1 Win=65535 Len=0 [TCP Retransmission]5640173287 Len=0411=1346=898147340 TSecr=0 SACK_PERM1440=904118820 TSecr=0 SACK_PERM]1570240124
10.42.0.13,62755.0,10.42.0.49,52432.0,TCP,54,"62755 > 52432 [ACK] Seq=496 Ack=1344 Win=65535 Len=0216 [TCP Keep-Alive],62755 > 52432 [ACK] Seq=495 Ack=1781 Win=65535 Len=0211=164=1346 Win=65535 Len=02=623"
10.42.0.49,52432.0,10.42.0.13,50547.0,HTTP,274,"HTTP/1.1 200 OK (application/pairing+tlv8)), cache flush 10.42.0.49 Port: 52432.0 Protocol: TCP Length: 54 Info: 50547 > 52432 [ACK] Seq=497 Ack=1782 Win=65535 Len=0162, cache flush 10.42.0.49 Ack"
10.42.0.13,62763.0,10.42.0.49,52432.0,TCP,54,62763 > 52432 [ACK] Seq=497 Ack=1782 Win=65535 Len=01160 WS=64 TSval=1977176758 TSecr=0 SACK_PERM 34.241.185.150 Source Port: 443.0 Destination: 10.42.0.28 Destination Port: 55988.
10.42.0.49,52432.0,10.42.0.13,61702.0,TCP,54,"52432 > 61702 [ACK] Seq=1 Ack=163 Win=5678 Len=02168F1193118815 TSecr=0 SACK_PERM, cache flush 105.108.0.132=1096118921 TSecr=0 SACK_PERM1 Ack=163 Win=5678 Len="
10.42.0.28,58272.0,54.170.92.104,443.0,TLSv1.2,123,Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application Data Application
10.42.0.49,5353.0,224.0.0.251,5353.0,MDNS,305,"Standard query response 0x0000 PTR MSS210-9f39._hap._tcp.local SRV, cache flush 0 0 52432 Meross_Smart_Plug.local TXT, cache flush A, cache flush 10.42.0.49 AAAA, cache flush fe80::4ae1:e9ff:fe6e:9f39 NSEC, cache flush MSS210-9f39._hap._tcp.local NS"
10.42.0.49,52432.0,10.42.0.13,50882.0,TCP,54,"52432 > 50882 [ACK] Seq=1 Ack=163 Win=5678 Len=0 [TCP Keep-Alive ACK] 491 Ack=1781 Win=65535 Len=064TCP PDU reassembled in 22192],6419bcf74 HTTP/1.1 (application/pairing+tlv8)),Alive ACK"
10.42.0.49,52432.0,10.42.0.13,62596.0,TCP,54,"52432 > 62596 [FIN, ACK] Seq=1781 Ack=497 Win=5344 Len=0162556216 > 172011 Len=062066=1106=1561=1106TCP Keep-Alive ACK]172611 Ack=104033"
10.42.0.13,50342.0,10.42.0.28,80.0,TCP,54,"50342 > 80 [ACK] Seq=483 Ack=103 Win=65535 Len=01 10.42.0.49=15774.0 Protocol: TCP Length: 54 Info: 50342 > 80 [ACK] Seq=1 Ack=1 Win=65535 Len=0 [TCP Dup ACK 29965#1], 10.42.0."
10.42.0.49,52432.0,10.42.0.13,59462.0,TCP,54,52432 > 59462 [ACK] Seq=1 Ack=163 Win=5678 Len=062163 Ack=221 Win=5633 Len=0 1086=1726 Win=5646 Len=0 1.amazonaws.com 105.186.107.110 A 172.159.200
10.42.0.49,5353.0,10.42.0.13,5353.0,MDNS,174,"Standard query response 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT A 10.42.0.49 AAAA fe80::4ae1:e9ff:fe6e:9f39640, cache flush MSS210-9f39._hap._tcp"
10.42.0.49,61385.0,99.81.71.200,443.0,TLSv1.2,539,"Application Data, Application Data.north-america.pool.ntp.org A 192.53.103.108 A 192.53.103.108 A 188.63.52.50 A 192.50.19.117 A 192.108.196.203"
10.42.0.13,51413.0,10.42.0.28,80.0,TCP,54,"51413 > 80 [ACK] Seq=483 Ack=103 Win=65535 Len=0 [TCP Keep-Alive]64413 > 80 [ACK] Seq=515 Ack=1 Win=65535 Len=00=483 Ack=1 Win=65535 Len=0162664782881 Len=01,62360"
10.42.0.13,59424.0,10.42.0.28,80.0,TCP,54,"59424 > 80 [ACK] Seq=483 Ack=199 Win=65535 Len=01 [TCP PDU reassembled in 26191], cache flush 104.167.215.195 A 192.108.0.197210-2000200166], cache flush 0.north-america.pool.ntp.org A"
10.42.0.49,5353.0,10.42.0.13,5353.0,MDNS,174,"Standard query response 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT A 10.42.0.49 AAAA fe80::4ae1:e9ff:fe6e:9f39640, cache flush Meross_Smart_Plug.local, ""QU"" question TX"
10.42.0.28,58273.0,52.212.130.239,443.0,TCP,54,58273 > 443 [ACK] Seq=32714 Ack=20288 Win=2506 Len=0223TCP Window]21616 Ack=13433 Win=2920 Len=0319549=12311 Win=2575 Len=02181180 Len=09
10.42.0.28,80.0,10.42.0.13,51368.0,TCP,54,"80 > 51368 [ACK] Seq=1 Ack=514 Win=2407 Len=0 [TCP PDU reassembled in 34862]5299 Len=0,TCP Keep-Alive], cache flush 10.42.0.28060 Win=2407 Len=0, cache flush 10.42.0.1400079454b"
10.42.0.49,52432.0,10.42.0.13,61723.0,TCP,54,"52432 > 61723 [ACK] Seq=1 Ack=163 Win=5678 Len=061=1781=497 Win=5344 Len=011160=69718 > 52432 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460=64 TSval=3742"
10.42.0.49,52432.0,10.42.0.13,62893.0,TCP,54,"52432 > 62893 [ACK] Seq=1781 Ack=497 Win=5344 Len=0162893 > 10.42.0.49 Ack=1781 Win=65535 Len=03 [TCP Retransmission]],,, Retransmission]1], 1394989245 TSecr=0 SACK_"
10.42.0.49,61386.0,54.216.1.110,443.0,TLSv1.2,539,"Application Data.amazon.pool.ntp.org (SNI=euw1-device-cloudgateway.iot.i.tplinknbu.com), Application Data], Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
10.42.0.13,50765.0,10.42.0.49,52432.0,TCP,54,"50765 > 52432 [ACK] Seq=496 Ack=1781 Win=65535 Len=0 1727 [TCP Retransmission]], Retransmission]]]],Alive]172655 Len=011101.amazonaws.com490346104737175=17267133"
10.42.0.49,5353.0,10.42.0.13,5353.0,MDNS,174,"Standard query response 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT A 10.42.0.49 AAAA fe80::4ae1:e9ff:fe6e:9f39640, cache flush Meross_Smart_Plug.local, ""QU"" question TX"
10.42.0.49,5353.0,10.42.0.13,5353.0,MDNS,174,"Standard query response 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT response QU"" question TXT A 10.42.0.49 AAAA fe80::4ae1:e9ff:fe6e:9f39640 response 0x0000"
