Source,Source port,Destination,Destination port,Protocol,Length,Info
10.42.0.13,50724.0,10.42.0.49,80.0,TCP,54,"50724 > 80 [ACK] Seq=584 Ack=71 Win=65535 Len=01 [TCP PDU reassembled in 12189], cache flush 10.42.0.13 Destination Port: 50748.0 Protocol: TCP Length: 54 Info: 50724 > 50748 [ACK] Seq=1 Ack=582 Win=5259 Len=0"
10.42.0.49,5353.0,10.42.0.13,5353.0,MDNS,270,"Standard query response 0x0000 PTR _hap._tcp.local, ""QU"" question PTR MSS210-9f39._hap._tcp.local SRV 0 0 52432 Meross_Smart_Plug.local TXT A 10.42.0.49 AAAA fe80::4ae1:e9ff:fe6e:9f3964, ""QU"" question SRV 0 0 52432 Meross"
10.42.0.13,50337.0,10.42.0.49,52432.0,TCP,54,"50337 > 52432 [ACK] Seq=496 Ack=1781 Win=65535 Len=061TCP Retransmission], Retransmission], cache flush 163119.119.211.223119.211=1681116912407171717171172"
10.42.0.13,50957.0,10.42.0.28,80.0,TCP,54,"50957 > 80 [ACK] Seq=1 Ack=1 Win=65535 Len=0 [TCP PDU reassembled in 13262], cache flush 10.42.0.28 Destination Port: 80.0 Protocol: TCP Length: 78 Info: 50957 > 80 [SYN, ECE, CWR, AE] Seq=0 Win=65535 Len=0 MSS=146"
10.42.0.49,5353.0,224.0.0.251,5353.0,MDNS,305,"Standard query response 0x0000 PTR MSS210-9f39._hap._tcp.local SRV, cache flush 0 0 52432 Meross_Smart_Plug.local TXT, cache flush A, cache flush 10.42.0.49 AAAA, cache flush fe80::4ae1:e9ff:fe6e:9f39 NSEC, cache flush MSS210-9f39._hap._tcp.local NS"
10.42.0.49,52432.0,10.42.0.13,50421.0,TCP,54,[TCP Keep-Alive ACK] 52432 > 50421 [ACK] Seq=1781 Ack=496 Win=5345 Len=0162605 105421 Len=0172626 > 52432 [ACK] Seq=495 Ack=1781 Win=65535 Len=0160=302=4
10.42.0.13,50562.0,10.42.0.49,52432.0,TCP,54,"50562 > 52432 [ACK] Seq=496 Ack=1344 Win=65535 Len=0216 [TCP Retransmission]], Retransmission], cache flush 163 Ack=221 Win=65535 Len=0171717469117 Len=01717178255168"
10.42.0.13,51064.0,10.42.0.49,52432.0,TCP,54,"51064 > 52432 [ACK] Seq=414 Ack=302 Win=65535 Len=0 [TCP Keep-Alive]]]]],Alive]]] 52432 > 52432 [ACK] Seq=1781 Ack=496 Win=5345 Len=06], response 0x000064b]"
10.42.0.13,5353.0,10.42.0.49,5353.0,MDNS,87,"Standard query 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question, cache flush 0.north-america.pool.ntp.org, cache flush 10."
10.42.0.49,52432.0,10.42.0.13,62577.0,TCP,54,52432 > 62577 [ACK] Seq=1 Ack=163 Win=5678 Len=0221TCP Keep-Alive ACK]55477 Ack=15312 Win=5840 Len=099 119754 Ack=74069 Win=5702 Len=0 1086601725 TSecr=0
10.42.0.13,50566.0,10.42.0.49,52432.0,TCP,54,"50566 > 52432 [ACK] Seq=163 Ack=221 Win=65535 Len=01 Ack=163 Win=65535 Len=061TCP Keep-Alive],62765 > 52432 [ACK] Seq=495 Ack=1781 Win=65535 Len=06=1251=62369"
10.42.0.13,59479.0,10.42.0.49,52432.0,TCP,54,"59479 > 52432 [ACK] Seq=496 Ack=1344 Win=65535 Len=0216 [TCP Keep-Alive],5431b53 TSecr=0 SACK_PERM49654803 TSecr=0 SACK_PERM, cache flush 10.42.0.13 Destination Port: 60024.0 Protocol: T"
10.42.0.13,50981.0,10.42.0.49,52432.0,TCP,54,"50981 > 52432 [ACK] Seq=496 Ack=1781 Win=65535 Len=0 TCP Retransmission], cache flush 10.42.0.49 Port: 52432.0 Protocol: TCP Length: 54 Info: 52432 > 52432 [FIN, ACK] Seq=496 Ack=1781 Win=65535"
10.42.0.49,52432.0,10.42.0.13,62726.0,TCP,54,52432 > 62726 [ACK] Seq=1781 Ack=497 Win=5344 Len=0119662721.01108187.125631 Len=03 1470=623=1938 Len=0TCP Keep-TCP Retransmission]1.amazonaws.com 51062.10960
10.42.0.13,5353.0,10.42.0.49,5353.0,MDNS,87,"Standard query 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question, cache flush 0.north-america.pool.ntp.org, cache flush 10."
10.42.0.13,50555.0,10.42.0.49,52432.0,TCP,54,"50555 > 52432 [ACK] Seq=497 Ack=1782 Win=65535 Len=0163ad221163, cache flush201.123.200.160 Destination Port: 123.0 Protocol: NTP Length: 90 Info: NTP Version 4, client] 10.42.0.49 Ack=1781 Win"
10.42.0.13,50751.0,10.42.0.49,52432.0,TCP,54,"50751 > 52432 [ACK] Seq=496 Ack=1781 Win=65535 Len=0 163ad48, cache flush 172.153.103.108 Destination Port: 123.0 Protocol: NTP Length: 90 Info: NTP Version 4, client99.119.12.167148=19"
10.42.0.13,50811.0,10.42.0.49,52432.0,TCP,54,"50811 > 52432 [ACK] Seq=496 Ack=1781 Win=65535 Len=0 b6 [TCP Retransmission]], Retransmission], cache flush 163 Ack=221 Win=65535 Len=01162369F18762361029119248294"
10.42.0.13,50514.0,10.42.0.49,52432.0,TCP,54,50514 > 52432 [ACK] Seq=163 Ack=221 Win=65535 Len=01160TCP Retransmission] 163=202.193.200.125125140 Len=10291491346=29471.01978dde41196188
10.42.0.49,52432.0,10.42.0.13,62466.0,HTTP,135,"HTTP/1.1 200 OK (application/pairing+tlv8) 52432 > 62466 [PSH, ACK] Seq=1781 Ack=497 Win=5344 Len=81TCP PDU reassembled in 50500], cache flush 0.north-america.pool.ntp.org A 142.4.192.253 A 172.5"
10.42.0.49,52432.0,10.42.0.13,62473.0,TCP,54,"52432 > 62473 [ACK] Seq=1781 Ack=497 Win=5344 Len=016260772187292 TSecr=0 SACK_PERM, cache flush 10.42.0.49 Ack=1781 Win=5633 Len=0, cache flush 10.42.0.49, cache flush"
10.42.0.49,61386.0,54.216.1.110,443.0,TCP,54,"61386 > 443 [ACK] Seq=116138 Ack=71360 Win=5702 Len=0 192350 Ack=118220 Win=5702 Len=01180 [TCP PDU reassembled in 25810], cache flush 0.north-america.pool.ntp.org], cache flush 107030"
10.42.0.49,61389.0,54.216.1.110,443.0,TLSv1.2,539,"Application Data.north-america.pool.ntp.org.elb.eu-west-4658 Len=4857, Application DataPS"
