No.,Time,Source,Source port,Destination,Destination port,proto,Length,Info,Date time
1,1182027.780588,10.42.0.49,52432,10.42.0.13,50691,TCP,54,52432  >  50914 [ACK] Seq=1 Ack=163 Win=5678 Len=0,0.111671
2,1155583.20929,10.42.0.49,52432,10.42.0.13,50555,TCP,54,"52432  >  50532 [FIN, ACK] Seq=1781 Ack=497 Win=5344 Len=0",0.001138
3,1178007.657626,10.42.0.49,52432,10.42.0.13,50702,HTTP,135,HTTP/1.1 200 OK  (application/pairing+tlv8),0.022564
4,351019.570285,10.42.0.13,51368,10.42.0.28,80,TCP,54,51373  >  80 [ACK] Seq=483 Ack=103 Win=65535 Len=0,0.000117
5,366833.615628,10.42.0.49,61388,54.216.1.110,443,TLSv1.2,539,Application Data,0.098603
6,418617.62493,10.42.0.49,52432,10.42.0.13,62592,HTTP,274,HTTP/1.1 200 OK  (application/pairing+tlv8),0.044249
7,1176231.586773,10.42.0.49,61395,99.81.71.200,443,TCP,54,61395  >  443 [ACK] Seq=32592 Ack=149768 Win=5840 Len=0,0.206493
8,1176737.599416,10.42.0.49,52432,10.42.0.13,50812,TCP,54,52432  >  50756 [ACK] Seq=1781 Ack=497 Win=5344 Len=0,0.000279
9,1132277.993185,10.42.0.13,50395,10.42.0.49,52432,TCP,54,50591  >  52432 [ACK] Seq=497 Ack=1782 Win=65535 Len=0,0.000138
10,1158298.876662,10.42.0.49,52432,10.42.0.13,50985,TCP,54,52432  >  50958 [ACK] Seq=1 Ack=163 Win=5678 Len=0,0.102998
11,1166923.870219,10.42.0.49,52432,10.42.0.13,50703,HTTP,1096,Continuation,0.006715
12,1175909.05709,10.42.0.28,58272,54.170.92.104,443,TCP,54,58272  >  443 [ACK] Seq=158163 Ack=7482 Win=2851 Len=0,0.006587
13,1178000.46885,10.42.0.49,52432,10.42.0.13,50948,TCP,54,52432  >  50532 [ACK] Seq=1 Ack=163 Win=5678 Len=0,0.004625
14,1154728.993625,10.42.0.49,52432,10.42.0.13,50574,TCP,54,52432  >  50532 [ACK] Seq=1781 Ack=497 Win=5344 Len=0,0.004597
15,1156073.70161,10.42.0.49,52432,10.42.0.13,50710,HTTP,135,HTTP/1.1 200 OK  (application/pairing+tlv8),0.044347
