No.,Time,Source,Source port,Destination,Destination port,Protocol,Length,Info,Date time
1,264654.469941,10.42.0.49,52432.0,10.42.0.13,59623.0,HTTP,135,HTTP/1.1 200 OK  (application/pairing+tlv8),0.043026
2,253933.063059,10.42.0.49,61386.0,54.216.1.110,443.0,TLSv1.2,123,Application Data,0.031324
3,371949.495307,10.42.0.49,5353.0,10.42.0.13,5353.0,MDNS,174,"Standard query response 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT",0.001631
4,355663.789098,10.42.0.49,61388.0,54.216.1.110,443.0,TLSv1.2,123,Application Data,15.835433
5,1136489.578848,10.42.0.13,50852.0,10.42.0.49,52432.0,TCP,54,50528  >  52432 [ACK] Seq=414 Ack=302 Win=65535 Len=0,0.003562
6,348136.15393,10.42.0.28,80.0,10.42.0.13,59495.0,TCP,54,80  >  59439 [ACK] Seq=1 Ack=582 Win=5259 Len=0,0.002967
7,235621.928546,10.42.0.13,5353.0,10.42.0.49,5353.0,MDNS,87,"Standard query 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question",0.010191
8,265066.202658,10.42.0.13,60014.0,10.42.0.49,52432.0,TCP,54,60000  >  52432 [ACK] Seq=496 Ack=1781 Win=65535 Len=0,0.021445
9,405045.340478,10.42.0.13,51422.0,10.42.0.49,80.0,TCP,54,51452  >  80 [ACK] Seq=583 Ack=102 Win=65535 Len=0,0.003118
10,265431.521999,,,,,MDNS,194,"Standard query response 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT",0.0
11,354.1439828,10.42.0.49,52432.0,10.42.0.13,62019.0,HTTP,1096,Continuation,0.003115
12,1148202.414843,10.42.0.13,50399.0,10.42.0.49,52432.0,TCP,54,50364  >  52432 [ACK] Seq=497 Ack=1782 Win=65535 Len=0,0.004442
13,1143190.848087,10.42.0.49,5353.0,10.42.0.13,5353.0,MDNS,174,"Standard query response 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT",0.045049
14,1178937.090612,10.42.0.49,61395.0,99.81.71.200,443.0,TCP,54,61395  >  443 [ACK] Seq=39789 Ack=36433 Win=5840 Len=0,0.109992
15,318198.593047,10.42.0.13,60878.0,10.42.0.49,52432.0,TCP,54,61866  >  52432 [ACK] Seq=497 Ack=1782 Win=65535 Len=0,0.006152
16,416857.513428,10.42.0.13,62565.0,10.42.0.49,52432.0,TCP,54,62526  >  52432 [ACK] Seq=497 Ack=1782 Win=65535 Len=0,0.010394
