No.,Time,Source,Source port,Destination,Destination port,proto,Length,Info,Date time
1,223.461917,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=1609435631 Ack=3545007976 Win=186,
2,206.585468,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=1208655 Ack=1 Win=1869 Len=1388 TSval=48,
3,223.169382,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=1609476512 Ack=3545007976 Win=186,
4,24.779043,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=7861162 Ack=1512677965 Win=1869 Len=1,
5,149.901999,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=2467706 Ack=1 Win=1869 Len=1388 TSval=48,
6,206.077925,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=12277172 Ack=1 Win=1869 Len=1388 TSval=4,
7,206.132676,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=1211123 Ack=1 Win=1869 Len=1388 TSval=48,
8,13.917277,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=1261025 Ack=1 Win=1869 Len=1388 TSval=468,
9,207.065972,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=12248618 Ack=1 Win=1869 Len=1388 TSval=4,
10,147.067357,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=2262817 Ack=1 Win=1869 Len=1388 TSval=48,
11,149.685232,192.168.0.16,49784,192.168.0.13,9020,TCP,114,49784  >  9020 [ACK] Seq=1 Ack=2586417 Win=32679 Len=0 TSval=366334859 TSec,
12,223.890886,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=1609161731 Ack=3545007976 Win=186,
13,21.579234,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=1271334 Ack=1512677965 Win=1869 Len=1,
14,149.759761,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=2551167 Ack=1 Win=1869 Len=1388 TSval=48,
15,108.953925,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=4293115 Ack=1 Win=1869 Len=1388 TSval=48,
16,206.58285,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=1208930 Ack=1 Win=1869 Len=1388 TSval=469,
17,112.294788,192.168.0.16,49784,192.168.0.13,9020,TCP,114,49784  >  9020 [ACK] Seq=1 Ack=4293153269 Win=32679 Len=0 TSval=36629892,
18,149.679946,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=2404748 Ack=1 Win=1869 Len=1388 TSval=48,
19,167.96788,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=4293734 Ack=1 Win=1869 Len=1388 TSval=483,
20,207.583225,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=12197359 Ack=1 Win=1869 Len=1388 TSval=4,
21,173.371739,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=5140751 Ack=1 Win=1869 Len=1388 TSval=48,
22,231.325398,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=1610223919 Ack=3545007976 Win=186,
23,223.232048,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=1609405460 Ack=3545007976 Win=186,
24,205.739898,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=12202557 Ack=1 Win=1869 Len=1388 TSval=4,
25,23.851369,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=7802187 Ack=1512677965 Win=1869 Len=1,
26,21.856358,192.168.0.16,49784,192.168.0.13,9020,TCP,114,49784  >  9020 [ACK] Seq=1512677965 Ack=7559373 Win=32768 Len=0 TSval=366,
27,27.582479,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=8051145 Ack=1512677965 Win=1869 Len=1,
28,209.992873,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=1244812 Ack=1 Win=1869 Len=1388 TSval=48,
29,205.52229,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=1182182 Ack=1 Win=1869 Len=1388 TSval=469,
