No.,Time,Source,Source port,Destination,Destination port,proto,Length,Info,Date time
1,206.172397,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=12095617 Ack=1 Win=1869 Len=1388 TSval=4,
2,252.537284,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=16096084 Ack=1 Win=1869 Len=1388 TSval=4,
3,1171117.129723,10.42.0.49,5353,10.42.0.13,5353,MDNS,174,"Standard query response 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT",0.001219
4,206.275568,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=12119770 Ack=1 Win=1869 Len=1388 TSval=4,
5,178.16867,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=5290765 Ack=1 Win=1869 Len=1388 TSval=484,
6,244.939339,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=1026426 Ack=226378741 Win=1869 Len=1,
7,242.790856,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=16092892 Ack=1 Win=1869 Len=1388 TSval=4,
8,248.961067,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=16111326 Ack=1512677965 Win=1869 Len,
9,235.831972,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=161091849 Ack=35450007976 Win=186,
10,248.124075,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=16091817 Ack=263545007976 Win=186,
11,116.950667,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=4293858 Ack=1 Win=1869 Len=1388 TSval=48,
12,174.750549,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=21974066 Ack=1512677965 Win=1869 Len,
13,24.23694,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=7775743 Ack=1512677965 Win=1869 Len=13,
14,213.623124,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=1609401358 Ack=3545007976 Win=186,
15,113206.328543,10.42.0.49,52432,10.42.0.13,50972,TCP,54,52432  >  50926 [ACK] Seq=1 Ack=163 Win=5678 Len=0,0.001124
16,255.98966,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=2133737 Ack=1512677965 Win=1869 Len=1,
17,1132798.896819,10.42.0.13,50757,10.42.0.49,52432,TCP,54,50500  >  52432 [ACK] Seq=496 Ack=1781 Win=65535 Len=0,0.003632
18,179.550145,192.168.0.13,9020,192.168.0.16,49784,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=4290869 Ack=1 Win=1869 Len=1388 TSval=48,
